fold,config,selected,n_runs,target_top1_accuracy,target_top3_rate,median_localization_margin,chosen_config,chosen_compound_threshold_inner
0,LC-1a,True,35,0.6285714285714286,0.8571428571428571,2.152937172727576,LC-2a,0.55
0,LC-1b,True,35,0.6571428571428571,0.8857142857142857,2.7077594317241793,LC-2a,0.55
0,LC-1c,True,35,0.2571428571428571,0.8857142857142857,0.3791022692619297,LC-2a,0.55
0,LC-2a,True,35,0.7428571428571429,0.9714285714285714,0.20598730168483104,LC-2a,0.55
0,LC-2b,True,35,0.6857142857142857,0.8857142857142857,0.2043615392799059,LC-2a,0.55
0,LC-2c,True,35,0.7428571428571429,0.9142857142857143,0.2568574153161722,LC-2a,0.55
1,LC-1a,True,35,0.7428571428571429,0.9714285714285714,1.9829379909992666,LC-1b,0.85
1,LC-1b,True,35,0.7428571428571429,0.9714285714285714,2.225240196585417,LC-1b,0.85
1,LC-1c,True,35,0.2857142857142857,0.6857142857142857,0.0,LC-1b,0.85
1,LC-2a,True,35,0.7142857142857143,0.9142857142857143,0.12366846645696394,LC-1b,0.85
1,LC-2b,True,35,0.6571428571428571,0.8857142857142857,0.0983141512217931,LC-1b,0.85
1,LC-2c,True,35,0.7428571428571429,0.9142857142857143,0.12943894152636815,LC-1b,0.85
2,LC-1a,True,35,0.6285714285714286,0.8571428571428571,5.3853565851587435,LC-2a,0.55
2,LC-1b,True,35,0.6571428571428571,0.9428571428571428,4.730735587694726,LC-2a,0.55
2,LC-1c,True,35,0.2571428571428571,0.8857142857142857,0.0,LC-2a,0.55
2,LC-2a,True,35,0.7142857142857143,0.9142857142857143,0.1268977195925528,LC-2a,0.55
2,LC-2b,True,35,0.6285714285714286,0.9142857142857143,0.13263654117503582,LC-2a,0.55
2,LC-2c,True,35,0.6857142857142857,0.9142857142857143,0.1277780805762153,LC-2a,0.55
