split,mode,n_windows,n_trajectories,n_regression_windows,mae,rmse,r2,pearson,hit_at_010,alarm_window_rate,alarm_trajectory_rate,healthy_window_false_alarm_rate,healthy_trajectory_false_alarm_rate,crosstalk_alarm_rate,denominator_note,component_id,detection_rate,median_delay_from_injection_sec,n_delay_valid,median_delay_from_observable_sec,n_delay_observable_valid
train_oof,compound_degradation,5050,50,980,0.027971327620573957,0.041183330213394646,0.9885853572951809,0.9954415133566297,0.923469387755102,0.13306930693069308,0.14,,,0.0,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),lox_pump,0.7,,0.0,,0.0
train_oof,degradation,14847,147,2058,0.02344761487900094,0.028211244419476988,0.9937231280123677,0.9980885585333052,1.0,0.09927931568667071,0.10884353741496598,,,0.0,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),lox_pump,,,,,
train_oof,fault,4242,42,588,0.07065875890323499,0.12319522370696054,0.8244736105570295,0.9123690594475765,0.8843537414965986,0.04266855256954267,0.11904761904761904,,,0.0,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),lox_pump,0.8333333333333334,10.899999999999977,5.0,10.0,5.0
train_oof,healthy,2828,28,0,,,,,,0.0,0.0,0.0,0.0,,no regression sample (non-target or all-NaN truth); false alarm over healthy windows / healthy trajectories,lox_pump,,,,,
train_oof,sensor_fault,1414,14,0,,,,,,0.0,0.0,,,,no regression sample (non-target or all-NaN truth),lox_pump,,,,,
train_oof,compound_degradation,5050,50,1960,0.16406076619473667,0.233461846092598,0.6373759476001186,0.824183924664376,0.4331632653061224,0.24435643564356435,0.26,,,0.02706270627062706,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),oxygen_turbine,0.6,,0.0,,0.0
train_oof,degradation,14847,147,2058,0.06145547980676643,0.11191711903221883,0.911126478686631,0.9548231612004765,0.8328474246841594,0.20165690038391595,0.24489795918367346,,,0.11456859971711457,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),oxygen_turbine,,,,,
train_oof,fault,4242,42,588,0.07152857088948215,0.14905528876493063,0.7583131371978482,0.8758978705759258,0.7431972789115646,0.09052333804809053,0.2857142857142857,,,0.06490649064906491,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),oxygen_turbine,0.6666666666666666,9.899999999999991,4.0,9.0,4.0
train_oof,healthy,2828,28,0,,,,,,0.04490806223479491,0.10714285714285714,0.04490806223479491,0.10714285714285714,,no regression sample (non-target or all-NaN truth); false alarm over healthy windows / healthy trajectories,oxygen_turbine,,,,,
train_oof,sensor_fault,1414,14,0,,,,,,0.0,0.0,,,,no regression sample (non-target or all-NaN truth),oxygen_turbine,,,,,
train_oof,compound_degradation,5050,50,980,0.19642225589094886,0.2559802424959799,0.3524128618418326,0.8639775663157062,0.4,0.1910891089108911,0.22,,,0.008168316831683169,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),kerosene_pipeline,1.0,,0.0,,0.0
train_oof,degradation,14847,147,2058,0.024559692360127165,0.037735661142206736,0.989350780046494,0.9949089642319856,0.9523809523809523,0.23082104128780226,0.25170068027210885,,,0.1485934307716486,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),kerosene_pipeline,,,,,
train_oof,fault,4242,42,588,0.09991101672835964,0.2154098866317969,0.6926157260483021,0.8491287016708813,0.8214285714285714,0.07779349363507779,0.2857142857142857,,,0.04372937293729373,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),kerosene_pipeline,0.5,4.900000000000006,3.0,4.0,3.0
train_oof,healthy,2828,28,0,,,,,,0.0,0.0,0.0,0.0,,no regression sample (non-target or all-NaN truth); false alarm over healthy windows / healthy trajectories,kerosene_pipeline,,,,,
train_oof,sensor_fault,1414,14,0,,,,,,0.0,0.0,,,,no regression sample (non-target or all-NaN truth),kerosene_pipeline,,,,,
train_oof,compound_degradation,5050,50,980,0.22991302973910616,0.30678992987613246,-0.20528585918316056,0.6869013926397017,0.4,0.21148514851485148,0.26,,,0.033663366336633666,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),kerosene_valve,1.0,,0.0,,0.0
train_oof,degradation,14847,147,2058,0.06694294402312646,0.10478818734503793,0.8983877143338452,0.9494796803585771,0.760932944606414,0.27042500168384187,0.3197278911564626,,,0.17334590601917335,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),kerosene_valve,,,,,
train_oof,fault,4242,42,588,0.09388256846535754,0.19012641410547676,0.6697738384931238,0.8184578285622718,0.6904761904761905,0.07991513437057991,0.23809523809523808,,,0.06188118811881188,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),kerosene_valve,0.6666666666666666,17.89999999999999,4.0,17.0,4.0
train_oof,healthy,2828,28,0,,,,,,0.002828854314002829,0.03571428571428571,0.002828854314002829,0.03571428571428571,,no regression sample (non-target or all-NaN truth); false alarm over healthy windows / healthy trajectories,kerosene_valve,,,,,
train_oof,sensor_fault,1414,14,0,,,,,,0.05304101838755304,0.07142857142857142,,,,no regression sample (non-target or all-NaN truth),kerosene_valve,,,,,
train_oof,compound_degradation,5050,50,1960,0.22614067565829013,0.3338033901682273,0.23524815410062005,0.6288604415266217,0.4739795918367347,0.4386138613861386,0.56,,,0.4013201320132013,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),gas_generator,0.65,,0.0,,0.0
train_oof,degradation,14847,147,2058,0.15362407520888008,0.22353985403380647,0.6369450226145537,0.8384160927469687,0.5077745383867833,0.33555600458004986,0.3741496598639456,,,0.2858714442872859,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),gas_generator,,,,,
train_oof,fault,4242,42,588,0.16910120536392734,0.2728100122237889,0.45567466877374485,0.6848221218489041,0.6394557823129252,0.21664309288071665,0.5,,,0.2037953795379538,regression over active target windows; crosstalk alarm over non-active windows of non-target trajectories (scope=windows),gas_generator,0.3333333333333333,7.8999999999999915,2.0,7.0,2.0
